character|line
monica|there's nothing to tell
monica|he's just some guy i work with
joey|c'mon you're going out with the guy
joey|there's gotta be something wrong with him
chandler|so does he have a hump
chandler|a hump and a hairpiece
phoebe|wait does he eat chalk
phoebe|just cause i don't want her to go through what i went through with carl oh
monica|okay everybody relax
monica|this is not even a date
monica|it's just two people going out to dinner and not having sex
chandler|sounds like a date to me
chandler|alright so i'm back in high school i'm standing in the middle of the cafeteria and i realise i am totally naked
chandler|then i look down and i realise there's a phone
chandler|there
joey|instead of
chandler|that's right
joey|never had that dream
phoebe|no
chandler|all of a sudden the phone starts to ring
chandler|and it turns out it's my mother which is very weird because she never calls me
ross|hi
joey|this guy says hello i wanna kill myself
monica|are you okay sweetie
ross|i just feel like someone reached down my throat grabbed my small intestine pulled it out of my mouth and tied it around my neck
chandler|cookie
monica|carol moved her stuff out today
monica|let me get you some coffee
phoebe|ooh
phoebe|oh
ross|no no don't
ross|stop cleansing my aura
ross|no just leave my aura alone okay
ross|i'll be fine alright
ross|really everyone
ross|i hope she'll be very happy
monica|no you don't
ross|no i don't to hell with her she left me
joey|and you never knew she was a lesbian
ross|no
ross|okay
ross|why does everyone keep fixating on that
ross|she didn't know how should i know
chandler|sometimes i wish i was a lesbian
chandler|did i say that out loud
joey|alright ross look
joey|you're feeling a lot of pain right now
joey|you're angry
joey|you're hurting
joey|can i tell you what the answer is
joey|strip joint
joey|c'mon you're single
joey|have some hormones
ross|i don't want to be single okay
ross|i just
ross|i just i just wanna be married again
chandler|and i just want a million dollars
monica|rachel
rachel|oh god monica hi
rachel|i just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are you are
monica|de caff
monica|okay everybody this is rachel another lincoln high survivor
monica|this is everybody this is chandler and phoebe and joey and you remember my brother ross
rachel|hi sure
ross|hi
monica|so you wanna tell us now or are we waiting for four wet bridesmaids
rachel|oh god
rachel|well it started about a half hour before the wedding
rachel|i was in the room where we were keeping all the presents and i was looking at this gravy boat
rachel|this really gorgeous lamauge gravy boat
rachel|when all of a sudden sweet n lo
rachel|i realised that i was more turned on by this gravy boat than by barry
rachel|and then i got really freaked out and that's when it hit me how much barry looks like mr
rachel|potato head
rachel|y'know i mean he always looked familiar but
rachel|anyway i just had to get out of there and i started wondering why am i doing this and who am i doing this for
rachel|so anyway i just didn't know where to go and i know that you and i have kinda drifted apart but you're the only person i knew who lived here in the city
monica|who wasn't invited to the wedding
rachel|ooh i was kinda hoping that wouldn't be an issue
monica|now i'm guessing that he bought her the big pipe organ and she's really not happy about it
rachel|daddy i just
rachel|i can't marry him
rachel|i'm sorry
rachel|i just don't love him
rachel|well it matters to me
chandler|ooh she should not be wearing those pants
joey|i say push her down the stairs
phoebe|push her down the stairs
phoebe|push her down the stairs
phoebe|push her down the stairs
ross|push her down the stairs
ross|push her down the stairs
ross|push her down the stairs
chandler|push her down the stairs
chandler|push her down the stairs
chandler|push her down the stairs
joey|push her down the stairs
joey|push her down the stairs
joey|push her down the stairs
rachel|c'mon daddy listen to me
rachel|all of my life everyone has always told me you're a shoe
rachel|you're a shoe you're a shoe you're a shoe
rachel|and today i just stopped and i said what if i don't wanna be a shoe
rachel|what if i wanna be a a purse y'know
rachel|or a or a hat
rachel|no i'm not saying i want you to buy me a hat i'm saying i am a ha it's a metaphor daddy
ross|you can see where he'd have trouble
rachel|look daddy it's my life
rachel|well maybe i'll just stay here with monica
monica|well i guess we've established who's staying here with monica
rachel|well maybe that's my decision
rachel|well maybe i don't need your money
rachel|wait
rachel|wait i said maybe
monica|just breathe breathe
monica|that's it
monica|just try to think of nice calm things
phoebe|raindrops on roses and rabbits and kittens
phoebe|bluebells and sleighbells and something with mittens
phoebe|la la la la
rachel|i'm all better now
phoebe|i helped
monica|okay look this is probably for the best y'know
monica|independence
monica|taking control of your life
joey|and hey you need anything you can always come to joey
joey|me and chandler live across the hall
joey|and he's away a lot
monica|joey stop hitting on her
monica|it's her wedding day
joey|what like there's a rule or something
chandler|please don't do that again it's a horrible sound
monica|buzz him in
joey|who's paul
ross|paul the wine guy paul
monica|maybe
joey|wait
joey|your not a real date tonight is with paul the wine guy
ross|he finally asked you out
monica|yes
chandler|ooh this is a dear diary moment
monica|rach wait i can cancel
rachel|please no go that'd be fine
monica|are are you okay
monica|i mean do you want me to stay
ross|that'd be good
monica|really
ross|no go on
ross|it's paul the wine guy
monica|hi come in
monica|paul this is
monica|everybody everybody this is paul
chandler|i'm sorry i didn't catch your name
chandler|paul was it
monica|two seconds
phoebe|ooh i just pulled out four eyelashes
phoebe|that can't be good
ross|so rachel what're you uh
ross|what're you up to tonight
rachel|well i was kinda supposed to be headed for aruba on my honeymoon so nothing
ross|right you're not even getting your honeymoon god
ross|no no although aruba this time of year
ross|talk about your big lizards
ross|anyway if you don't feel like being alone tonight joey and chandler are coming over to help me put together my new furniture
chandler|yes and we're very excited about it
rachel|well actually thanks but i think i'm just gonna hang out here tonight
ross|okay sure
joey|hey pheebs you wanna help
phoebe|oh i wish i could but i don't want to
ross|i'm supposed to attach a brackety thing to the side things using a bunch of these little whim guys
ross|i have no brackety thing i see no whim guys whatsoever and i cannot feel my legs
joey|what's this
chandler|i have no idea
joey|done with the bookcase
chandler|all finished
ross|this was carol's favourite beer
ross|she always drank it out of the can i should have known
joey|ross let me ask you a question
joey|she got the furniture the stereo the good tv what did you get
ross|you guys
chandler|oh man
joey|you got screwed
monica|oh my god
monica|my brother's going through that right now he's such a mess
monica|how did you get through it
monica|leg
monica|you actually broke her watch
rachel|barry i'm sorry
rachel|i am so sorry
rachel|i know you probably think that this is all about what i said the other day about you making love with your socks on but it isn't
rachel|it isn't it's about me and i ju hi machine cut me off again
rachel|anyway
ross|you know what the scariest part is
ross|what if there's only one woman for everybody y'know
ross|i mean what if you get one woman and that's it
ross|unfortunately in my case there was only one woman for her
joey|what are you talking about
joey|one woman'
joey|that's like saying there's only one flavour of ice cream for you
joey|lemme tell you something ross
joey|there's lots of flavours out there
joey|there's rocky road and cookie dough and bing
joey|cherry vanilla
joey|you could get em with jimmies or nuts or whipped cream
joey|this is the best thing that ever happened to you
joey|you got married you were like what eight
joey|welcome back to the world
joey|grab a spoon
ross|i honestly don't know if i'm hungry or horny
chandler|stay out of my freezer
monica|what
monica|what you wanna spell it out with noodles
monica|oh so there is gonna be a fifth date
monica|yeah
monica|yeah i think there is
monica|what were you gonna say
monica|oh god oh god i am sorry
monica|i am so sorry
monica|being spit on is probably not what you need right now
monica|um
monica|how long
monica|wow
monica|i'm glad you smashed her watch
monica|yeah
monica|yeah i do
rachel|oh
rachel|see
rachel|but joanie loved chachi
rachel|that's the difference
ross|grab a spoon
ross|do you know how long it's been since i've grabbed a spoon
ross|do the words billy don't be a hero mean anything to you
ross|y'know here's the thing
ross|even if i could get it together enough to to ask a woman out
ross|who am i gonna ask
rachel|isn't this amazing
rachel|i mean i have never made coffee before in my entire life
chandler|that is amazing
joey|congratulations
joey|and while you're on a roll if you feel like you gotta make like a western omelette or something
joey|although actually i'm really not that hungry
joey|morning paul
rachel|hello paul
chandler|hi paul is it
monica|i had a really great time last night
monica|we'll talk later
joey|that wasn't a real date
joey|what the hell do you do on a real date
monica|shut up and put my table back
chandler|all right kids i gotta get to work
chandler|if i don't input those numbers
chandler|it doesn't make much of a difference
rachel|so like you guys all have jobs
monica|yeah we all have jobs
monica|see that's how we buy stuff
joey|yeah i'm an actor
rachel|wow
rachel|would i have seen you in anything
joey|i doubt it
joey|mostly regional work
monica|oh wait wait unless you happened to catch the reruns production of pinocchio
chandler|look gippetto i'm a real live boy
joey|i will not take this abuse
chandler|you're right i'm sorry
chandler|once i was a wooden boy a little wooden boy
monica|so how you doing today
monica|did you sleep okay
monica|talk to barry
monica|i can't stop smiling
rachel|i can see that
rachel|you look like you slept with a hanger in your mouth
monica|i know he's just so so
monica|do you remember you and tony demarco
rachel|oh yeah
monica|well it's like that
monica|with feelings
rachel|oh wow
rachel|are you in trouble
monica|okay
monica|okay
monica|i am just going to get up go to work and not think about him all day
monica|or else i'm just gonna get up and go to work
rachel|oh look wish me luck
monica|what for
rachel|i'm gonna go get one of those job things
monica|hey welcome back
monica|how was florida
monica|how do you do that
monica|you know paul
monica|you mean you know paul like i know paul
joey|of course it was a line
monica|why
monica|why
monica|why why would anybody do something like that
ross|i assume we're looking for an answer more sophisticated than to get you into bed'
monica|is it me
monica|is it like i have some sort of beacon that only dogs and men with severe emotional problems can hear
phoebe|all right c'mere gimme your feet
monica|i just thought he was nice y'know
joey|i can't believe you didn't know it was a line
rachel|guess what
ross|you got a job
rachel|are you kidding
rachel|i'm trained for nothing
rachel|i was laughed out of twelve interviews today
chandler|and yet you're surprisingly upbeat
rachel|you would be too if you found john and david boots on sale fifty percent off
chandler|oh how well you know me
rachel|they're my new i don't need a job i don't need my parents i've got great boots boots
monica|how'd you pay for them
rachel|uh credit card
monica|and who pays for that
rachel|um
rachel|my
rachel|father
monica|c'mon you can't live off your parents your whole life
rachel|i know that
rachel|that's why i was getting married
phoebe|give her a break it's hard being on your own for the first time
rachel|thank you
phoebe|you're welcome
phoebe|i remember when i first came to this city
phoebe|i was fourteen
phoebe|my mom had just killed herself and my step dad was back in prison and i got here and i didn't know anybody
phoebe|and i ended up living with this albino guy who was like cleaning windows outside port authority and then he killed himself and then i found aromatherapy
phoebe|so believe me i know exactly how you feel
ross|the word you're looking for is anyway'
monica|you ready
rachel|i don't think so
ross|c'mon cut
ross|cut cut cut
monica|welcome to the real world
monica|it sucks
monica|you're gonna love it
monica|well that's it
rachel|you gonna crash on the couch
ross|no
ross|no i gotta go home sometime
monica|you be okay
ross|yeah
rachel|hey mon look what i just found on the floor
rachel|what
monica|that's paul's watch
monica|you just put it back where you found it
monica|oh boy
monica|alright
monica|goodnight everybody
ross|mmm
ross|oh no
rachel|sorry
ross|no no no go
rachel|no you have it really i don't want it
ross|split it
rachel|okay
ross|okay
ross|you know you probably didn't know this but back in high school i had a um major crush on you
rachel|i knew
ross|you did
ross|oh
ross|i always figured you just thought i was monica's geeky older brother
rachel|i did
ross|oh
ross|listen do you think and try not to let my intense vulnerability become any kind of a factor here but do you think it would be okay if i asked you out
ross|sometime
ross|maybe
rachel|yeah maybe
ross|okay
ross|okay maybe i will
rachel|goodnight
ross|goodnight
monica|see ya
monica|waitwait what's with you
ross|i just grabbed a spoon
joey|i can't believe what i'm hearing here
phoebe|i can't believe what i'm hearing here
monica|what
monica|i i said you had a
phoebe|what i said
monica|would you stop
phoebe|oh was i doing it again
rachel|would anybody like more coffee
chandler|did you make it or are you just serving it
rachel|i'm just serving it
chandler|kids new dream
chandler|i'm in las vegas
chandler|i'm liza minelli end
monica|what you guys don't understand is for us kissing is as important as any part of it
joey|yeah right
joey|y'serious
phoebe|oh yeah
rachel|everything you need to know is in that first kiss
monica|absolutely
chandler|yeah i think for us kissing is pretty much like an opening act y'know
chandler|i mean it's like the stand up comedian you have to sit through before pink floyd comes out
ross|yeah and and it's not that we don't like the comedian it's that that
ross|that's not why we bought the ticket
chandler|the problem is though after the concert's over no matter how great the show was you girls are always looking for the comedian again y'know
chandler|i mean we're in the car we're fighting traffic
chandler|basically just trying to stay awake
rachel|yeah well word of advice bring back the comedian
rachel|otherwise next time you're gonna find yourself sitting at home listening to that album alone
joey|are we still talking about sex
ross|no it's good it is good it's just that mm doesn't she seem a little angry
ross|does she
ross|marsha these are cave people
ross|okay
ross|they have issues like gee that glacier's getting kinda close
ross|see
ross|no
ross|no
ross|okay okay yes it is
ross|how about i'll uh catch up with you in the ice age
ross|hi
ross|you look great
ross|i uh
ross|i hate that
ross|ah well in here anyone who
ross|stands erect
ross|so what's new
ross|still uh
ross|well
ross|you never know
ross|how's um
ross|how's the family
ross|why why are you here carol
ross|pregnant
chandler|oh i think this is the episode of three's company where there's some kind of misunderstanding
phoebe|then i've already seen this one
monica|are you through with that
joey|yeah sorry the swallowing slowed me down
monica|whose little ball of paper is this
chandler|oh uh that would be mine
chandler|see i wrote a note to myself and then i realised i didn't need it so i balled it up and
chandler|now i wish i was dead
phoebe|she's already fluffed that pillow
phoebe|monica you know you've already fluffed that but it's fine
monica|look i'm sorry guys i just don't wanna give them any more ammunition than they already have
chandler|yes and we all know how cruel a parent can be about the flatness of a child's pillow
phoebe|monica hi
phoebe|um monica you're scaring me
phoebe|i mean you're like you're like all chaotic and twirly
phoebe|and not not in a good way
joey|yeah calm down
joey|you don't see ross getting all chaotic and twirly every time they come
monica|that's because as far as my parents are concerned ross can do no wrong
monica|y'see he's the prince
monica|apparently they had some big ceremony before i was born
chandler|ew ew ew ew ew ew ew ew
monica|what
chandler|ugly naked guy got a thighmaster
rachel|has anybody seen my engagement ring
phoebe|yeah it's beautiful
rachel|oh god oh god oh god oh god oh god oh god
phoebe|no look don't touch that
rachel|oh like i wasn't dreading tomorrow enough having to give it back to him
rachel|hi barry
rachel|remember me
rachel|i'm the girl in the veil who stomped on your heart in front of your entire family
rachel|oh god and now i'm gonna have to return the ring without the ring which makes it so much harder
monica|easy rach we'll find it
monica|won't we
chandler|oh
chandler|yeah
joey|oh
joey|yeah
joey|alright when'd'ya have it on last
phoebe|doy
phoebe|probably right before she lost it
chandler|you don't get a lot of doy these days
rachel|i know i had it this morning and i know i had it when i was in the kitchen with
chandler|dinah
rachel|ohhhhh don't be mad
monica|you didn't
rachel|oh i am sorry
monica|i gave you one job
rachel|oh but look how straight those noodles are
chandler|now monica you know that's not how you look for an engagement ring in a lasagne
monica|i just
monica|can't do it
chandler|boys
chandler|we're going in
ross|hi
monica|wow
monica|that is not a happy hi
ross|carol's pregnant
phoebe|ooh
phoebe|i found it
monica|w w wh
monica|wha
monica|w w w
ross|yeah
ross|do that for another two hours you might be where i am right about now
chandler|kinda puts that whole pillow thing in perspective huh mon
rachel|well now how how do you fit into this whole thing
ross|well carol says she and susan want me to be involved but if i'm not comfortable with it i don't have to be involved
ross|basically it's entirely up to me
phoebe|she is so great
phoebe|i miss her
monica|what does she mean by involved'
chandler|i mean presumably the biggest part of your job is done
ross|anyway they want me to go down to this sonogram thing with them tomorrow
rachel|so what are you gonna do
ross|i have no idea
ross|no matter what i do though i'm still gonna be a father
joey|well this is still ruined right
monica|curry
ross|i i think they're great
ross|i i really do
ross|aw mom
monica|i'm sorry why is this girl going to call me
monica|no mom i don't have a restaurant i work in a restaurant
monica|ross could you come and help me with the spaghetti please
ross|yeah
monica|i know this is going to sound unbelievably selfish but were you planning on bringing up the whole baby lesbian thing
monica|because i think it might take some of the heat off me
monica|what's that supposed to mean
monica|no it's not
monica|so ross what's going on with you
monica|any stories
monica|no news no little anecdotes to share with the folks
ross|okay
ross|okay
ross|look i uh i realise you guys have been wondering what exactly happened between carol and me and so well here's the deal
ross|carol's a lesbian
ross|she's living with a woman named susan
ross|she's pregnant with my child and she and susan are going to raise the baby
joey|your folks are really that bad huh
