true|classified
monica|ross
monica|ross
joey|other
joey|other
chandler|chandler
chandler|chandler
phoebe|phoebe
phoebe|other
monica|chandler
monica|ross
monica|other
chandler|ross
chandler|other
chandler|other
joey|ross
chandler|joey
joey|ross
chandler|other
chandler|other
ross|rachel
joey|other
monica|monica
ross|ross
chandler|joey
monica|ross
monica|other
phoebe|phoebe
phoebe|rachel
ross|ross
ross|ross
ross|ross
ross|ross
ross|other
ross|other
joey|ross
ross|phoebe
ross|ross
ross|phoebe
chandler|ross
chandler|chandler
joey|other
joey|other
joey|ross
joey|monica
joey|other
joey|joey
joey|ross
joey|rachel
ross|ross
ross|ross
chandler|other
monica|ross
rachel|other
rachel|other
other|other
monica|monica
monica|monica
monica|other
rachel|other
ross|rachel
monica|other
rachel|rachel
rachel|other
rachel|other
rachel|rachel
rachel|chandler
rachel|other
rachel|other
rachel|monica
rachel|other
rachel|other
rachel|other
monica|monica
rachel|other
monica|other
rachel|rachel
rachel|other
rachel|rachel
rachel|monica
rachel|ross
chandler|phoebe
joey|ross
phoebe|ross
phoebe|ross
phoebe|ross
ross|ross
ross|ross
ross|ross
chandler|ross
chandler|ross
chandler|ross
joey|ross
joey|ross
joey|ross
rachel|other
rachel|other
rachel|other
rachel|other
rachel|other
rachel|joey
rachel|ross
ross|ross
rachel|other
rachel|other
monica|other
rachel|other
rachel|other
rachel|monica
rachel|other
monica|other
monica|other
phoebe|phoebe
phoebe|phoebe
phoebe|phoebe
rachel|joey
phoebe|phoebe
monica|ross
monica|monica
monica|ross
joey|other
joey|other
joey|other
monica|ross
monica|monica
joey|chandler
chandler|chandler
other|ross
monica|joey
joey|rachel
ross|other
monica|joey
joey|monica
joey|other
ross|ross
monica|chandler
chandler|other
monica|ross
rachel|other
monica|phoebe
monica|other
ross|joey
monica|monica
ross|monica
ross|other
monica|other
monica|rachel
monica|chandler
chandler|other
chandler|rachel
monica|other
phoebe|phoebe
phoebe|other
ross|ross
ross|monica
rachel|other
ross|other
ross|other
ross|ross
ross|other
chandler|chandler
rachel|other
ross|ross
joey|ross
phoebe|other
ross|ross
ross|ross
chandler|ross
joey|joey
chandler|joey
ross|ross
ross|other
joey|other
joey|ross
ross|joey
chandler|chandler
joey|chandler
monica|rachel
other|other
other|other
other|other
monica|ross
monica|monica
other|other
monica|monica
other|other
other|chandler
monica|other
rachel|rachel
rachel|rachel
rachel|other
rachel|other
rachel|ross
ross|ross
ross|other
ross|other
ross|other
joey|chandler
joey|chandler
joey|other
joey|ross
joey|joey
joey|other
joey|rachel
joey|other
joey|other
joey|other
joey|other
joey|ross
ross|ross
chandler|monica
other|ross
monica|other
other|other
monica|other
monica|joey
monica|ross
monica|chandler
other|other
other|other
other|joey
monica|other
monica|rachel
other|phoebe
monica|other
monica|phoebe
monica|joey
other|other
monica|rachel
monica|monica
other|other
other|other
monica|joey
monica|joey
other|other
other|joey
rachel|rachel
rachel|other
rachel|rachel
rachel|ross
ross|ross
ross|ross
ross|other
ross|other
ross|other
ross|other
rachel|ross
rachel|other
chandler|ross
joey|other
joey|other
joey|other
other|other
joey|other
rachel|other
chandler|other
monica|other
other|rachel
other|other
monica|other
other|joey
other|rachel
joey|other
joey|other
monica|other
chandler|other
chandler|chandler
chandler|other
rachel|other
monica|other
monica|ross
joey|joey
rachel|rachel
rachel|other
joey|monica
joey|chandler
monica|other
chandler|chandler
joey|other
chandler|other
chandler|other
monica|other
monica|chandler
monica|rachel
monica|phoebe
rachel|other
rachel|other
monica|phoebe
monica|monica
rachel|phoebe
monica|other
monica|ross
rachel|phoebe
rachel|ross
monica|phoebe
monica|phoebe
monica|other
monica|other
rachel|other
rachel|other
other|chandler
monica|other
monica|monica
other|monica
monica|rachel
other|other
other|other
monica|other
other|other
other|other
other|ross
joey|other
monica|other
ross|other
monica|monica
phoebe|ross
monica|other
joey|other
rachel|ross
ross|other
rachel|other
rachel|chandler
rachel|other
chandler|chandler
rachel|other
chandler|other
rachel|other
monica|joey
rachel|ross
monica|joey
rachel|phoebe
rachel|other
monica|other
rachel|phoebe
rachel|other
phoebe|other
rachel|rachel
phoebe|other
phoebe|other
phoebe|phoebe
phoebe|other
phoebe|phoebe
phoebe|ross
ross|other
monica|other
rachel|chandler
ross|other
ross|other
monica|other
monica|monica
monica|other
monica|rachel
rachel|chandler
ross|other
monica|phoebe
ross|joey
rachel|ross
monica|monica
monica|other
monica|other
monica|joey
monica|ross
ross|other
ross|rachel
rachel|rachel
ross|monica
rachel|other
ross|chandler
rachel|phoebe
ross|phoebe
ross|other
rachel|ross
ross|rachel
ross|ross
ross|rachel
ross|ross
ross|other
ross|joey
rachel|ross
ross|phoebe
ross|phoebe
rachel|ross
ross|ross
monica|other
monica|monica
ross|ross
joey|other
phoebe|other
monica|rachel
phoebe|rachel
monica|chandler
phoebe|rachel
rachel|other
chandler|rachel
rachel|rachel
chandler|ross
chandler|phoebe
chandler|chandler
monica|other
joey|ross
joey|joey
phoebe|phoebe
rachel|other
monica|other
chandler|other
chandler|ross
ross|chandler
ross|chandler
chandler|other
chandler|other
chandler|other
rachel|chandler
rachel|other
joey|chandler
ross|other
other|other
other|other
ross|ross
ross|phoebe
ross|ross
ross|other
other|other
other|chandler
other|ross
other|rachel
ross|ross
ross|other
ross|rachel
ross|ross
ross|ross
ross|rachel
other|rachel
other|ross
ross|ross
ross|ross
ross|joey
ross|ross
other|ross
ross|rachel
ross|phoebe
ross|phoebe
ross|other
other|other
other|ross
ross|ross
other|phoebe
ross|phoebe
chandler|other
phoebe|other
joey|joey
monica|other
chandler|ross
chandler|chandler
chandler|phoebe
phoebe|phoebe
phoebe|phoebe
monica|other
chandler|chandler
phoebe|other
phoebe|phoebe
phoebe|phoebe
phoebe|ross
joey|phoebe
joey|other
monica|ross
monica|monica
monica|other
chandler|chandler
chandler|chandler
rachel|other
phoebe|other
rachel|other
phoebe|other
rachel|other
rachel|rachel
rachel|rachel
rachel|chandler
rachel|other
monica|ross
chandler|rachel
chandler|joey
joey|rachel
joey|joey
joey|joey
phoebe|phoebe
phoebe|other
chandler|chandler
rachel|other
chandler|chandler
rachel|ross
rachel|other
monica|other
rachel|other
chandler|chandler
monica|ross
chandler|ross
chandler|monica
ross|rachel
monica|rachel
monica|other
ross|ross
phoebe|phoebe
phoebe|phoebe
monica|ross
monica|ross
monica|ross
ross|joey
ross|other
chandler|other
rachel|other
ross|ross
ross|ross
phoebe|other
phoebe|other
monica|ross
chandler|chandler
ross|other
rachel|chandler
ross|ross
ross|other
joey|other
other|other
other|other
other|monica
monica|monica
other|other
ross|other
ross|monica
other|other
other|chandler
other|chandler
ross|phoebe
monica|other
other|other
other|phoebe
other|other
monica|other
other|other
monica|other
ross|joey
other|phoebe
other|phoebe
monica|other
monica|other
other|other
other|other
other|other
other|other
other|other
monica|ross
other|monica
other|other
other|other
other|joey
other|other
other|other
other|other
other|other
other|other
other|other
monica|rachel
monica|chandler
monica|other
ross|phoebe
ross|phoebe
ross|other
ross|ross
ross|ross
ross|other
other|ross
joey|other
ross|ross
ross|other
monica|other
monica|other
ross|other
phoebe|other
rachel|joey
phoebe|joey
phoebe|other
phoebe|phoebe
phoebe|phoebe
rachel|other
monica|other
chandler|ross
chandler|chandler
rachel|other
ross|joey
rachel|chandler
ross|ross
ross|ross
ross|ross
rachel|ross
rachel|ross
rachel|joey
ross|ross
ross|phoebe
ross|other
rachel|rachel
rachel|monica
ross|ross
rachel|joey
ross|ross
rachel|chandler
rachel|other
ross|other
ross|other
ross|ross
ross|ross
rachel|ross
rachel|ross
ross|joey
rachel|other
ross|joey
rachel|other
rachel|rachel
ross|chandler
rachel|rachel
rachel|other
ross|monica
ross|other
ross|ross
ross|chandler
ross|ross
other|rachel
other|ross
ross|chandler
other|rachel
ross|ross
ross|ross
ross|ross
ross|other
other|other
other|ross
ross|other
ross|ross
ross|phoebe
ross|ross
ross|chandler
other|ross
ross|ross
ross|rachel
other|joey
ross|joey
other|rachel
other|other
rachel|rachel
other|other
rachel|joey
other|joey
other|ross
other|other
other|joey
other|joey
