|joey|rachel|monica|phoebe|chandler|ross|other
there|389|323|270|278|342|384|416
is|1525|1764|1630|1613|1698|1952|2262
nothing|55|65|70|56|51|78|64
to|1688|1908|1680|1483|1718|1917|2170
tell|167|213|171|151|159|166|186
he|354|459|381|431|346|374|495
just|630|1091|700|776|633|856|864
some|152|123|151|106|152|185|192
guy|148|120|126|137|117|151|145
i|3638|4328|3131|2998|3300|4194|4301
work|70|85|108|68|83|79|93
with|544|544|514|438|538|565|616
cmon|15|25|10|9|10|29|37
you|3448|3997|3668|3341|3293|3861|4780
are|722|891|900|704|845|871|1117
going|173|210|226|168|191|246|225
out|411|391|337|282|367|367|385
the|2023|1778|1886|1693|2145|2137|2451
gotta|117|84|61|41|45|67|79
be|511|501|499|431|496|577|671
something|136|146|151|105|113|147|151
wrong|44|42|41|46|43|47|56
him|158|296|228|263|196|214|217
so|644|837|706|842|675|739|953
does|81|96|103|112|106|108|118
have|540|726|684|629|706|690|870
a|1725|1646|1479|1505|1657|1850|2097
hump|0|0|0|0|3|0|0
and|1469|1531|1216|1423|1340|1466|1552
hairpiece|0|0|0|0|1|0|0
wait|142|204|177|161|73|129|149
eat|39|24|40|40|12|22|27
chalk|0|0|0|4|1|0|0
because|149|198|177|213|239|175|193
do|901|1024|911|782|881|984|1048
not|1045|1238|1084|1009|1183|1273|1290
want|264|261|246|197|202|275|286
her|356|308|245|285|359|439|296
go|332|360|377|292|350|381|410
through|33|28|26|32|27|33|43
what|1004|1373|1005|801|929|1320|1005
went|55|52|30|40|51|41|73
carl|6|0|0|1|1|3|2
oh|887|1863|912|1412|781|972|1225
okay|546|825|654|818|697|839|436
everybody|25|35|45|22|38|22|34
relax|17|10|11|10|13|10|20
this|812|931|801|765|753|893|1005
even|87|113|97|79|65|95|95
date|40|67|25|34|27|59|55
it|1576|1558|1515|1323|1429|1658|1764
two|99|91|93|76|96|115|162
people|71|90|93|96|92|117|91
dinner|20|27|41|24|25|33|38
having|45|61|45|59|54|76|68
s|57|46|53|31|52|58|40
x|46|42|54|30|49|49|35
sounds|27|22|17|19|27|17|15
like|549|417|335|501|390|438|506
me|840|922|689|625|785|779|1038
alright|91|62|69|54|60|69|92
back|165|176|130|139|143|170|194
in|651|647|623|591|696|753|931
high|16|19|39|22|19|17|31
school|13|16|30|17|14|21|27
standing|9|3|2|4|8|7|9
middle|10|10|6|9|8|12|10
of|702|697|597|639|763|776|978
cafeteria|0|1|0|0|1|2|1
realise|2|5|1|7|5|8|5
am|107|181|107|90|124|180|142
totally|42|40|33|58|40|44|24
naked|29|22|15|21|25|24|10
then|170|205|154|200|182|164|199
look|405|297|217|227|321|348|285
down|136|93|88|87|87|116|92
phone|21|41|22|29|40|21|42
instead|5|4|5|8|8|13|5
that|1272|1665|1289|1218|1425|1386|1459
right|661|538|431|394|463|512|467
never|120|127|97|109|103|110|132
had|176|189|163|159|177|224|223
dream|10|8|4|9|10|11|3
no|953|920|612|898|896|1130|1030
all|611|543|482|457|488|465|526
sudden|1|6|4|2|9|1|7
starts|7|10|5|7|11|6|5
ring|24|12|4|18|46|23|22
turns|10|8|5|6|11|11|8
my|667|902|728|782|621|795|981
mother|10|19|9|30|12|10|26
which|34|45|24|59|41|50|51
very|51|113|48|75|97|79|144
weird|33|47|41|27|32|51|36
she|373|384|315|342|400|553|287
calls|2|7|2|6|7|8|9
hi|68|347|146|161|106|208|347
says|23|16|18|18|24|34|29
hello|44|56|44|49|51|77|97
wanna|114|89|127|97|100|124|116
kill|15|14|11|24|23|6|10
myself|35|32|16|21|18|33|35
sweetie|2|12|46|4|3|23|29
feel|73|81|62|78|55|83|88
someone|40|51|52|58|28|72|76
reached|1|0|2|0|2|2|2
throat|2|0|1|1|7|2|0
grabbed|1|2|0|0|1|3|1
small|7|6|6|6|11|9|23
intestine|0|0|0|0|0|1|0
pulled|0|2|1|6|2|3|4
mouth|5|7|3|5|4|7|8
tied|0|0|0|0|0|1|0
around|51|51|51|55|51|44|67
neck|0|4|1|3|6|4|7
cookie|6|2|5|4|3|4|3
carol|3|11|6|5|9|49|11
moved|7|8|9|7|13|7|10
stuff|100|75|68|61|63|85|62
today|40|51|32|32|29|44|60
let|136|136|140|115|145|115|182
get|452|426|393|344|419|393|401
coffee|22|27|13|20|24|29|45
ooh|81|61|33|188|29|43|51
stop|44|79|63|65|65|60|60
cleansing|0|0|0|3|0|2|2
aura|0|0|0|1|0|2|0
leave|20|44|33|33|35|31|42
alone|18|34|14|17|18|24|15
fine|68|107|75|83|61|139|108
really|307|436|378|367|285|343|437
everyone|18|14|28|39|10|45|24
hope|9|20|20|15|18|18|35
will|163|194|190|173|187|225|221
happy|39|49|34|65|41|52|71
hell|37|30|21|26|23|29|36
left|38|49|38|44|36|36|71
knew|26|33|26|24|17|36|22
was|510|695|488|446|595|651|697
lesbian|7|6|3|4|4|15|7
why|203|268|245|227|254|292|257
keep|49|53|54|40|30|38|51
fixating|0|0|0|0|0|1|0
on|589|590|495|426|475|634|634
did|334|387|342|281|371|384|367
know|680|819|522|757|592|735|730
how|352|313|302|263|256|363|320
should|121|127|104|127|135|157|148
sometimes|16|15|14|10|13|14|10
wish|20|21|14|23|13|19|24
say|198|150|155|142|205|181|187
loud|8|5|3|4|9|5|2
ross|320|505|190|174|169|87|293
feeling|13|17|10|12|7|19|17
lot|71|49|45|51|65|57|76
pain|7|1|7|6|5|4|4
now|281|264|248|250|269|304|325
angry|3|3|3|4|2|7|6
hurting|2|2|2|0|0|1|0
can|363|304|312|351|355|340|404
answer|15|7|8|16|10|15|17
strip|8|1|2|1|7|1|4
joint|1|0|0|0|0|1|1
single|9|7|6|5|12|10|4
hormones|1|3|1|2|0|2|0
married|27|74|62|48|58|66|65
again|89|90|89|86|70|93|96
million|3|6|2|6|6|8|5
dollars|17|11|8|16|15|14|29
rachel|126|87|173|135|60|227|219
god|100|460|303|276|125|172|218
monica|122|201|66|158|190|129|130
your|381|436|413|423|397|431|756
building|8|9|8|5|6|13|15
were|127|196|166|170|168|213|229
big|117|105|86|61|115|95|83
hammer|1|2|1|0|1|0|3
said|135|152|88|106|127|104|110
might|40|26|23|36|29|33|55
here|348|340|287|249|331|351|553
de|7|0|1|1|1|1|5
caff|0|0|1|0|0|0|0
another|36|32|38|31|39|46|56
