char_name|char_id|unprocessed_line|processed_line
Chandler|4|No-no-no-no, we're done|no no no no we are done
Monica|2|Aunt Syl, stop yelling|aunt syl stop yelling
Monica|2|All I'm saying is that if you had told me vegetarian lasagna, I would have made vegetarian lasagna|all i am saying is that if you had told me vegetarian lasagna i would have made vegetarian lasagna
Monica|2|Well, the meat's only every third layer, maybe you could scrape|well the meats only every third layer maybe you could scrape
Joey|3|Ross, did you really read all these baby books|ross did you really read all these baby books
Ross|6|Yup|yup
Ross|6|You could plunk me down in the middle of any woman's uterus, no compass, and I can find my way out of there like that|you could plunk me down in the middle of any womans uterus no compass and i can find my way out of there like that
Phoebe|5|Ooh, this is cool|ooh this is cool
Phoebe|5|it says in some parts of the world, people actually eat the placenta|it says in some parts of the world people actually eat the placenta
Chandler|4|And, we're done with the yogurt|and we are done with the yogurt
Phoebe|5|Sorry|sorry
Monica|2|Aunt Syl, I did this as a favor, I am not a caterer|aunt syl i did this as a favor i am not a caterer
Monica|2|What do you want me to do with a dozen lasagnas|what do you want me to do with a dozen lasagnas
Monica|2|Nice talk, Aunt Syl|nice talk aunt syl
Monica|2|You kiss Uncle Freddie with that mouth|you kiss uncle freddie with that mouth
Joey|3|Hey Ross, listen, you know that right now, your baby's only this big|hey ross listen you know that right now your babys only this big
Joey|3|This is your baby|this is your baby
Joey|3|Hi Daddy|hi daddy
Ross|6|Hello|hello
Joey|3|How come you don't live with Mommy|how come you do not live with mommy
Joey|3|How come Mommy lives with that other lady|how come mommy lives with that other lady
Joey|3|What's a lesbian|what is a lesbian
Rachel|1|Honey, you can say it, Poconos, Poconos, it's like Poc-o-nos|honey you can say it poconos poconos it is like poc o nos
Paolo|0|Ah, poke  a  nose, mmm|ah poke a nose mmm
Joey|3|Mma, Mma, Mmaah|mma mma mmaah
Chandler|4|Mma, Mma, Mmaah|mma mma mmaah
Ross|6|Mma, Mma, Mmaah|mma mma mmaah
Monica|2|So, did I hear Poconos|so did i hear poconos
Rachel|1|Yes, my sister's giving us her place for the weekend|yes my sisters giving us her place for the weekend
Phoebe|5|Woo-hoo, first weekend away together|woo hoo first weekend away together
Monica|2|Yeah, that's a big step|yeah that is a big step
Rachel|1|I know|i know
Chandler|4|Ah, it's just a weekend, big deal|ah it is just a weekend big deal
Ross|6|Wasn't this supposed to be just a fling, huh|was not this supposed to be just a fling huh
Ross|6|Shouldn't it be|should not it be
Ross|6|flung by now|flung by now
Rachel|1|I mean, we are way past the fling thing, I mean, I am feeling things that I've only read about in Danielle Steele books, you know|i mean we are way past the fling thing i mean i am feeling things that i have only read about in danielle steele books you know
Rachel|1|I mean, when I'm with him, I'm totally, totally|i mean when i am with him i am totally totally
Ross|6|nauseous, I'm physically nauseous|nauseous i am physically nauseous
Ross|6|What am I supposed to do, huh|what am i supposed to do huh
Ross|6|Call immigration|call immigration
Ross|6|I could call immigration|i could call immigration
Joey|3|I love babies, with their little baby shoes, and their little baby toes, and their little baby hands|i love babies with their little baby shoes and their little baby toes and their little baby hands
Chandler|4|Ok, you're going to have to stop that, forever|ok you are going to have to stop that forever
Joey|3|Need a new table|need a new table
Chandler|4|You think|you think
Carol|0|Hey hey, come on in|hey hey come on in
Ross|6|Hey, hello|hey hello
Ross|6|mmwa|mmwa
Ross|6|I brought all the books, and Monica sends her love, along with this lasagna|i brought all the books and monica sends her love along with this lasagna
Carol|0|Oh great|oh great
Carol|0|Is it vegetarian, 'cause Susan doesn't eat meat|is it vegetarian because susan does not eat meat
Ross|6|I'm pretty sure that it is|i am pretty sure that it is
Carol|0|So, I got the results of the amnio today|so i got the results of the amnio today
Ross|6|Oh, tell me, tell me, is everything, uhh|oh tell me tell me is everything uhh
Carol|0|Totally and completely healthy|totally and completely healthy
Ross|6|Oh, that's great, that is great|oh that is great that is great
Ross|6|Hey, when did you and Susan meet Huey Lewis|hey when did you and susan meet huey lewis
Carol|0|Uh, that's our friend Tanya|uh that is our friend tanya
Ross|6|Of course it's your friend Tanya|of course it is your friend tanya
Carol|0|Don't you want to know about the sex|do not you want to know about the sex
Ross|6|The sex|the sex
Ross|6|Um, I'm having enough trouble with the image of you and Susan together, when you throw in Tanya , yaw|um i am having enough trouble with the image of you and susan together when you throw in tanya yaw
Carol|0|The sex of the baby, Ross|the sex of the baby ross
Ross|6|Oh, you know the sex of the baby|oh you know the sex of the baby
Ross|6|Oh, oh-oh-oh|oh oh oh oh
Carol|0|Do you want to know|do you want to know
Ross|6|No, no, no, no, no, I don't want to know, absolutely not|no no no no no i do not want to know absolutely not
Ross|6|I think, you know, I think you should know until you look down there, and say, oop, there it is|i think you know i think you should know until you look down there and say oop there it is
Ross|6|Or isn't|or is not
Susan|0|Oh, hello Ross|oh hello ross
Ross|6|Susan|susan
Susan|0|So, so, did you hear|so so did you hear
Ross|6|Yes, we did, everything's A-OK|yes we did everythings a ok
Susan|0|Oh, that's so|oh that is so
Susan|0|It really is|it really is
Susan|0|do we know|do we know
Carol|0|Yes, we certainly do, it's going to be|yes we certainly do it is going to be
Ross|6|Oh, hey hey hey, ho ho ho, hello, guy who doesn't want to know, standing right here|oh hey hey hey ho ho ho hello guy who does not want to know standing right here
Susan|0|Oh, well, is it what we thought it would be|oh well is it what we thought it would be
Carol|0|Mm-hmmm|mm hmmm
Ross|6|Ok, what, what|ok what what
Ross|6|ok, what did we think it was going to be|ok what did we think it was going to be
Carol|0|It's a|it is a
Susan|0|It's a|it is a
Ross|6|No, no, no I don't want to know, don't want to know|no no no i do not want to know do not want to know
Ross|6|Ok, you know, I should probably, I should probably just go|ok you know i should probably i should probably just go
Carol|0|Well, thanks for the books|well thanks for the books
Ross|6|No problem, ok, mmmwa  oh, mmmwa  Susan|no problem ok mmmwa oh mmmwa susan
Susan|0|All right, who should we call first, your folks, or Deb and Rona|all right who should we call first your folks or deb and rona
Carol|0|Hello|hello
Ross|6|Uh, never mind, I don't want to know|uh never mind i do not want to know
Chandler|4|Ok, so it's just because it was my table, I have to buy a new one|ok so it is just because it was my table i have to buy a new one
Joey|3|That's the rule|that is the rule
Chandler|4|What rule|what rule
Chandler|4|There's no rule, if anything, you owe me a table|there is no rule if anything you owe me a table
Joey|3|How'd you get to that|how did you get to that
Chandler|4|Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio|well i believe the piece of furniture was fine until your little breakfast adventure with angela delvecchio
Joey|3|You knew about that|you knew about that
Chandler|4|Well, let's just say the impressions you made in the butter left little to the imagination|well let us just say the impressions you made in the butter left little to the imagination
Joey|3|Ok, ok, How about if we split it|ok ok how about if we split it
Chandler|4|What do you mean, like, buy it together|what do you mean like buy it together
Joey|3|Yeah|yeah
Chandler|4|You think we're ready for something like that|you think we are ready for something like that
Joey|3|Why not|why not
Chandler|4|Well, it's a pretty big commitment, I mean, what if one of us wants to move out|well it is a pretty big commitment i mean what if one of us wants to move out
Joey|3|Why, are you moving out|why are you moving out
Chandler|4|I'm not moving out|i am not moving out
Joey|3|You'd tell me if you were moving out right|you would tell me if you were moving out right
Chandler|4|Yeah, yeah, it's just that with my last roommate Kip|yeah yeah it is just that with my last roommate kip
Joey|3|Aw, I know all about Kip|aw i know all about kip
Chandler|4|It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly|it is just that we bought a hibachi together and then he ran off and got married and things got pretty ugly
Joey|3|Well, let me ask you something, was Kip a better roommate than me|well let me ask you something was kip a better roommate than me
Chandler|4|Aw, don't do that|aw do not do that
Phoebe's Assistant|0|We've got a couple changes in your schedule|we have got a couple changes in your schedule
Phoebe's Assistant|0|Your 4:00 herbal massage has been pushed back to 4:30 and Miss Somerfield canceled her 5:30 shiatsu|your herbal massage has been pushed back to and miss somerfield canceled her shiatsu
Phoebe|5|Ok, thanks|ok thanks
Phoebe's Assistant|0|Oh, here comes your 3:00|oh here comes your
Phoebe's Assistant|0|I don't mean to sound unprofessional, but, yum|i do not mean to sound unprofessional but yum
Paolo|0|Buon Giorno, Bella Phoebe|buon giorno bella phoebe
Phoebe|5|Oh, Paolo, hi, what are you doing here|oh paolo hi what are you doing here
Paolo|0|Uh, Racquela tell me you massage, eh|uh racquela tell me you massage eh
Phoebe|5|Well, Racquela's right, yeah|well racquelas right yeah
Phoebe|5|Oh, okay, I don't know what you just said, so let's get started|oh okay i do not know what you just said so let us get started
Paolo|0|Uh, I am, uh, being naked|uh i am uh being naked
Phoebe|5|Um, that's really your decision, I mean, some people prefer, you know, to take off|um that is really your decision i mean some people prefer you know to take off
Phoebe|5|oh whoops|oh whoops
Phoebe|5|You're being naked|you are being naked
Rachel|1|I can't believe you don't want to know|i cannot believe you do not want to know
