Chandler| Wow! That ripped! That ripped real nice!
Joey| How many times do I have to tell you! Ya, turn and sliiiide! Y'know, turn and slide.
Chandler| You don’t turn and slide, you throw it out! I’m tired of having to get a tetanus shot every time I get dressed!
Joey| Look, we’re not throwing it out! I built this thing with my own hands!
Chandler| All right, how about we, how ‘bout we sell it.
Joey| All right. But, you’re gonna have to tell them. 
Chandler|  Do you mind if we stick you in another cabinet?  They seem all right with it!
Chip|  Hey Monica, it’s Chip.
Monica| Yesss!!
Ross| Who’s Chip?
Monica| Shhh!
Chip|  Good runnin’ into you at the bank today, so ah, here’s my number, 555-9323. Give me a call. Later.
Monica| Chip, is Chip Matthews.
Ross| The guy who took Rachel to the prom? Why is he calling you?
Monica| ‘Cause I ran into him at the bank, he is still soo cute.
Ross| Monica, you’re so lucky! He’s like the most popular guy in school!!
Monica| I know!!   Chip? Hi! It’s Monica.  ‘Kay.  ‘Kay.  Okay.  Okay, good-bye.  Oh my God, we just had the best conversation!! 
Ross|  I was just leaving.
Rachel| Good! ‘Cause I’ve got a product report to read, it’s like eight pages, I hope I don’t fall asleep.
Ross| Why? Did you write it?
Rachel|  Wow! Look at that, Chip Matthews called. I wonder what he wants?
Ross| Well ah, actually...
Rachel|  I bet he sensed that I was ready to have sex with another guy.
Ross| Well, umm, why don’t you give him a call?
Rachel| Okay.  Are you sure you wanna hear this?
Ross| Oh, I’m sure.
Rachel|  Chip! Hi, it’s Rachel.  Rachel Green. Yeah, umm, you left me a message.  Yes you did, my roommate wrote it down.  Monica Geller.  Ohh.
Ross|  Oh, that’s right! He called to ask out Monica! That-that’s gotta be embarrassing! 
Phoebe|  ...DUMB, DRUNKEN, BITCH!!!   Thank you, thanks.
Ross|  Hey, here’s a question; where did you guys get the finest oak East of the Mississippi?
Chandler| Uh-huh, first you tell us where you got the prettiest lace in all the land.
Ross| I’m reading your ad.
Joey| Looks good, uh?
Ross| Yeah.
Chandler|  Stunning entertainment center. Fine,  fine Italian craftsmanship. 
Phoebe| Oh my God, you guys are selling the entertainment center?
Rachel| Why? I love that thing.
Chandler| You want it?
Phoebe| Oh no.
Rachel| Oh no.
Chandler| Ahh, Gepeto, $5,000 dollars? Are you insane?
Joey| Hey, the ad alone cost 300 bucks!
Chandler| All right look, I’m changing it to 50 bucks, or your best offer.
Joey| What kind of profit is that?! And you call yourself an accountant.
Chandler|  Nooo.
Joey| Oh. What do you do?
Chandler| I can’t believe you don’t know what I do for a living!
Phoebe| Yeah, I actually don’t know...
Ross| Good, so do I
Rachel| Something to do with numbers?
Phoebe| Oh my God! No! Shoo! Kitty! No! No-no-no! Shoo! Come on, you!  Come on. Crazy.  Oh my God.
Rachel| What?
Phoebe| Nothing. Nothing.
Joey| What? What’s wrong?
Phoebe| I just, I just have this really strong feeling that this cat is my Mother.
Rachel| You mean the mom you met in Montauk. She was a cat?!
Phoebe| No, no-no, she was a human lady. This is the spirit of my Mom Lily, the one who killed herself.
Ross| Are you sure she’s in the cat, or have you been taking your grandma’s glycoma medicine again?
Phoebe| No Dr. Skeptismo! I’m sure. First of all, okay, there’s the feeling.  Okay, and for another, how about the fact that she went into my guitar case which is lined with orange felt.  My Mother’s favourite fish is Orange Roughy...  Cats....like....fish!   Hi, Mommy.  Oh, I haven’t seen this smile in 17 years!
Joey|  Dude, Phoebe’s mom has got a huge peni...
Chandler|  Let it go!!
Monica| Hey!
Rachel| Umm, when were you gonna tell me that you’re going out with Chip Matthews?
Monica| Now? Is it okay if I go out with Chip Matthews?
Rachel| Nooo! It’s not okay! I can’t believe you would want to after what he did to me!
Monica| What, that little thing at the prom?
Rachel| Monica! I couldn’t find him for two hours! He was having sex with Amy Welch!
Monica| Come on, that was back in high school! How could that still bother you?
Rachel| I mean why, of all people would you want to go out with Chip?!
Monica| Look, you and I went to different high schools...
Rachel| Okay, that doesn’t help me, because we went to the same high school.
Monica| You went to one where you were popular, and you got to ride off Chip’s motorcycle, and wear his letterman jacket. I went to one where I wore a band uniform they had to have specially made.
Rachel|  They had to have that specially made?!
Monica| It was a project for one of the Home Ec classes.
Rachel|  Oh my God, they told us that was for the mascot!
Monica| Back then, I thought that I would never, ever get the chance to go out with a Chip Matthews, and now he’s-he’s called me up and asked me out. And the fat girl inside of me really wants to go. I-I owe her this. I never let her eat.
Rachel| Oh, you go out with him.  
Monica| Oh, really?!
Rachel| Yeah. Just, if it’s possible, could you leave him somewhere and go have sex with another guy?
Monica| I’ll try.
Ross| So you guys having any luck getting rid of the entertainment center?
Joey| Well, there were a couple of calls last night, but ah, I don’t think any of them are gonna work out.
Chandler| Yes, Joey has a very careful screening process. Apparently, not everyone is qualified to own wood and nails.
Phoebe|  Stop it! Stop it! She keeps squirming, trying to get away! Just like when she was alive.
Ross| So Pheebs, how long is your mom gonna be with us?
Phoebe| Well, I’m not sure. I mean, I guess until she y'know, gets used to the fact that there’s y'know, a new mom. Y'know, I think she’s worried that y'know, she’s gonna, she’s gonna be replaced.  Well, that’s not gonna happen is it? Noo.  Okay, I have to return a call in the other room.
Monica| Why can’t you use the phone in here?
Phoebe| Well, I’m returning a call from a certain mom at the B-E-A-C-H. I just spelled the wrong word. 
Ross| So, guys, am I crazy, or does Phoebe’s mom remind anyone of a cat?
Monica| Ross, don’t start.
Ross| Come on, you-you can’t tell me you actually believe that-that there’s a woman inside that cat!
Rachel| I believe it.
Ross| No you don’t. 
Rachel| Yes, I do.
Ross| No you do—y'know what, you’re not gonna suck me into this.
Rachel| Oh sure I am, because you always have to be right.
Ross| I do not always have to be—okay, okay. 
Rachel| Jurassic Park could happen.
Tony| Wow! That’s ah, that’s pretty nice!
Joey| Pretty nice?
Chandler| You’ll have to pardon my roommate, he wanted to marry this.
Tony| We don’t have 50 bucks, but would you be willing to trade for it? We’ve got a canoe.
Chandler| Y'know, I, I really don’t think we need a canoe.
Tony| You gotta take the canoe!
Chandler| All right, just, just take the entertainment center, and then when you get home, throw the canoe away!
Peter| We’re not throwing it away! I built that canoe! 
Joey|  Good for you!!
Rachel|  You guys, you’re never gonna believe what I just found tacked up on a telephone pole!  Look kinda familiar?
Ross|  Apparently Phoebe’s mother also goes by the name Julio.
Rachel| You guys, there’s a little girl in Soho looking for this cat. I mean, you know what that means?!
Joey|  Yeah-eah! 200 dollar reward, split five ways!!
Rachel| Do we have to tell her?
Ross| Yes, we have to tell her!
Monica| Oh, but it’s made her so happy.
Ross|  Little girl misses her cat.  Crazy lady thinks her mother is in a cat.  Okay, y'know what, I have to go have dinner with my son, can I trust that when you see Phoebe, you will tell her.
All|  Yeah.
Ross| Thank you.
Rachel| I hate when Ross is right!
Monica| He is right, isn’t he?
Chandler| Y'know what, I think this might be one of the times he’s wrong.
All| You think?
Chandler| Oh-no, he’s right.
Phoebe|  Hi. 
Monica| Hi!
All| Hey!
Joey| Uh, Pheebs, about your mom...
Phoebe| Yeah?
Joey|  How’s that going?
Phoebe| So great. Oh, we took a nap today and my Mom fell asleep on my tummy and purred.
Joey| That’s so sweet.  I’m gonna get some coffee. 
Monica|  Huh? What’d ya say Joe? I’ll be right there. 
Rachel| Pheebs...
Phoebe| I just feel so, uhh.....
Rachel| All right!!
Chandler| I’m coming already!!
Rachel| Jeez!
Monica|  Not yet! Not yet! Not yet! Not yet! Not yet! Not yet! Not yet! Not yet! 
Rachel| Hello, Chip.
Chip| Hey, Rach! How ya doin’?
Rachel| I’m great! I’m great. I’ve got a great job at Bloomingdale’s, have wonderful friends, and eventhough I’m not seeing anyone right now, I’ve never felt better about myself.
Chip| So ah, Monica ready yet?
Rachel| She’ll be out in a second. So, Chip, how’s umm, Amy Welch?
Chip| Amy Welch? Wow! I haven’t seen her since... So, Monica about ready?
Joey| This is the unit for you my friend. Sturdy construction, tons of storage compartments, some big enough to fit a grown man.
Guy| What?!
Joey| Oh yeah! I got in there myself once. My roommate bet me five bucks that I couldn’t, and then he stuck a board through the handles that locked me in. Yeah. It was funny ‘til I started feeling like I was in a coffin.
Guy| No, you, you can’t fit in that thing. That’s not deep enough.
Joey| Oh yeah?  If I can’t, I’ll knock five bucks off the price off the unit.
Guy| All right, you have yourself a deal. 
Joey| Okay.  See?! I told ya! 
Joey| Sometimes I get in here just to get away from it! Hey, a nickel!!
Chip| Here, we are.
Monica| Oh my God! You still have the Chipper!
Chip| The what?
Monica| That’s what we used to call your ah, your motorcycle in high school. Y'know how a motorcycle is a Chopper, and you’re Chip. Nevermind.
Chip| No, I think it’s cute. 
Monica| Wow! A lipper from Chipper.
Chip| So you still in touch with anyone from high school?
Monica| Umm. Well, there’s Rachel, and umm, I think that’s it. How bout you?
Chip| Oh yeah, I still hang with Simmons and Zana, y'know. I see Spindler a lot. Devane, Kelly, and I run into Goldie from time to time. Steve Brown, Zuchoff, McGwire, J.T., Breadsly.
Monica| Is that all?
Chip| Ehh, y'know after high school, you just kinda lose touch. Oh yeah! I ran into Richard Dorfman.
Monica| Ohh, how is he?
Chip| Not so good, Simmons and I gave him a wedgie.
Monica| Isn’t he an architect now?
Chip| Yeah, they still wear underwear.
Chandler| OH MY GOD!!!
Joey|  WHAT?!! 
Chandler| Are you all right?!
Joey| Yeah...
Chandler|  What happened?!!
Joey|  Awww, man! He promised he wouldn’t take the chairs!!
Chandler| What the hell happened?!! How were you locked in?!! And where the hell is all of our stuff?!!
Joey| Well, this guy came by to look at the unit and-and he said he didn’t think big enough to fit a grown man!
Chandler| So—You got in voluntarily?!
Joey| I was tryin’ to make a sale!! Oh, man, if I ever run into that guy again, do you know what I’m gonna do?
Chandler| BEND OVER?!!!
Chip| ...and then Zana, just let one rip!! 
Monica| Look, not that I enjoy talking about people who I went to high school with, ‘cause I do, but umm, maybe we could talk about something else? Like you, I don’t even know where you work?
Chip| You know where I work!
Monica| I do?
Chip| The movie theatre, you used to come in all the time.
Monica| You still work at the multiplex?
Chip| Oh, like I’d give up that job! Free popcorn and candy, anytime I want. I can get you free posters for your room.
Monica| Thanks, I’m set. Do you still live with your parents?
Chip| Oh yeah, but I can stay out as late as I want.
Rachel| Wow! They really got you guys. Your T.V. The chairs.
Phoebe| Oh yeah, your microwave. The stereo.
Joey|  Aww, man, he took the five of spades!! Oh, no-no-no, here it is!
Monica|  Oh my God! What happened?
Chandler| Oh, umm, Joey was born, and then 28 years later, I was robbed!!
Rachel|  So, how was your date?
Monica| Well, y'know how I always wanted to go out with Chip Matthews in high school?
Rachel| Um-hmm.
Monica| Well, tonight, I actually went out with Chip Matthews in high school.
Rachel| Oh honey, I’m sorry.
Monica| No, it’s okay, not only did I get to go out with Chip Matthews, I got to dump Chip Matthews.
Rachel| Ohh! That’s so great!
Monica| I know!
Ross|  Hey! So ah, what did the insurance company say?
Chandler| Oh, they said uh, “You don’t have insurance here, so stop calling us.”
Ross|  You didn’t tell her?!  Okay, fine! Pheebs?
Phoebe| Yeah?  Hi!
Ross| Hi! Listen uhh, this cat belongs to a little girl. There are flyers all over the place.
Rachel| I’m sorry, sweetie. 
Monica| Hey, we can take her back with you if you want.
Phoebe| Ohh. Um-hmm. But y'know, she choose to find me. I mean, I have to respect her decision. Right?
Chandler| That’s a good call. Right.
Monica| That’s a good call. Right.
Joey| That’s a good call. Right.
Rachel| That’s a good call. Right.
Ross| No! No! Look—Hey, enough is enough! Look, I am sorry that you feel guilty or whatever about spending time with your new mom, but this is not your old mom. This is a cat! Okay, Julio the cat! Not mom! Cat!
Phoebe|  Ross, how many parents have you lost?
Ross| None.
Phoebe| Okay, then you don’t know what it feels like when one of them comes back. Do you? I believe this is my Mother. Even if I’m wrong, who cares? Just be a friend. Okay? Be supportive.
Ross| I’m sorry.
Phoebe| Okay.
Ross| I don’t know what to say.
Rachel| You could.... say you’re sorry to her mom.
Phoebe| I think she would like that.
