Ross|Ross| Hey!
Rachel|Rachel| Hey, so did everything go okay with the annulment?
Ross|Ross| Oh, yeah, no problems. It’s all taken care of.
Rachel|Rachel| Ross, thank you. Hey, do you guys wanna go see a movie?
Ross|Ross| Oh yeah, why not?
Rachel|Rachel| Okay, umm, I’m gonna get my sweater. 
Ross|Ross| Okay.  You uh, you wanna hear something weird?
Phoebe|Phoebe| Always.
Ross|Ross| I didn’t get the annulment.
Phoebe|Phoebe| What?!
Ross|Ross| We’re still married! Don’t tell Rachel. See you later. 
Ross|Ross|  Hey, do you have any gum?
Rachel|Rachel| Oh? Yeah! Sure!
Phoebe|Phoebe|  Wait! Wait! Hi! Listen, Ross can I just talk to you for just a second?
Rachel|Rachel| Oh but Phoebe, we’re gonna be late for the movie.
Phoebe|Phoebe| Oh, there’s a cab! Taxi!!  Good timing, my God, huh? Here you go.  
Rachel|Rachel| Yeah, we’re, we’re actually just gonna walk ‘cause it’s right up there at the Angelica.
Phoebe|Phoebe| Oh, the Angelica!! Go! Go!   You didn’t get the annulment?!!
Ross|Ross| I know.
Phoebe|Phoebe| Ross?!
Ross|Ross|" Well, I tried! But when I got to my lawyer’s office all I could hear was, ""Three divorces. Three divorces!"" Look, I just don’t want my tombstone to read, Ross Gellar, Three Divorces."
Phoebe|Phoebe| Don’t be worried about that! Your tombstone can say whatever you want it to say! It could say, Ross Geller, Good at Marriage! Y’know? Mine’s gonna say Phoebe Buffay, Buried Alive.
Ross|Ross| Look, all I know is I-I can’t have another failed marriage!
Phoebe|Phoebe| So okay what? You’re gonna be married to a girl who doesn’t even know about it?!—Op, woman! Sorry.
Ross|Ross| Well, okay so, I don’t have it all worked out quite yet. Just don’t say anything to Rachel, please?
Phoebe|Phoebe| Rachel is one of my closest friends.  Although, being the only one who knows anything about this does makes me feel special. Okay!
Rachel|Rachel|  Okay, stop-stop! Phoebe?!
Phoebe|Phoebe| Hey Rach!
Rachel|Rachel| What was that?!
Phoebe|Phoebe| Sorry, mix up. Hey, how was the movie?
Rachel|Rachel| I haven’t seen it yet!
Phoebe|Phoebe| Well then you’d better hurry! The Angelica! Go! Go! 
Rachel|Rachel| Noooooooo!!
Chandler|Chandler| Y’know when we move in together, can I get a gumball machine?
Monica|Monica| Of course! Joey wouldn’t let you have one?
Chandler|Chandler| No. When it comes to sweets, he’s surprisingly strict.
Monica|Monica| Hey, have you figured out a way to tell him you’re moving out? 
Chandler|Chandler|" No, no, I keep trying, y’know? I can get out, ""Joey, I have too…"" but then I lose my nerve and I always finish with, ""…go to the bathroom."" He may think I’m sick."
Monica|Monica| Y’know, I really have to tell Rachel, but I… We just have to get it over with! Y’know, the next time we see them we’re just gonna tell them. Okay? That’s it.
Chandler|Chandler| Oh, so that’s this is gonna work now? You’re just gonna order me around all the time?
Monica|Monica| Pretty much.
Chandler|Chandler| All right.
Joey|Joey|  Hey Monica!
Monica|Monica| Hi!
Joey|Joey| Hey man, you feeling any better? 
Monica|Monica| Joey, we have something to tell you.
Joey|Joey| Oh my God! You’re pregnant!
