Rachel|1| Hey, you guys! Guess what? Barry and Mindy are getting a divorce!
Monica|2| Oh my God!
Phoebe|5| Wow!
Joey|3| What is the matter with you?!
Phoebe|5| No! Barry and Mindy.
Joey|3| Oh sorry, I hear divorce I immediately go to Ross.  Who-who’s Barry and Mindy?
Rachel|1| Barry was the guy that I was almost married and Mindy was my best friend.
Joey|3| Ohh-oh, wasn’t he cheating on you with her?
Rachel|1| Yeah, but that just means that he was falling asleep on top of her instead of me.
Monica|2| Why did they get divorced?
Rachel|1| Well, apparently she caught him cheating on her with someone else. Isn’t that sad?  God, could you imagine if I actually married him?! I mean how different would my life be?
Ross|6| I know what you mean, I’ve always wondered how different my life would be if-if I’d never gotten divorced.
Phoebe|5| Which time?
Ross|6| The first time! No seriously, imagine if Carol hadn’t realized she was a lesbian.
Joey|3|  I can’t. I keep seeing it the good way.
Ross|6| I’d bet I’d still be doing my kara-tay.  Towards the end of our marriage I was doing a lot of kara-tay as a way of releasing the tension from y’know, not doing anything else physical.
Chandler|4| Maybe the problem was you were pronouncing it kara-tay.
Monica|2| And what if I was still fat?  Well, you wouldn’t be dating me, that’s for sure.
Chandler|4| Sure I would!
All|0|  Oh yeah! Come on! Yeah right!
Chandler|4| What, you guys really think that I’m that shallow?
Ross|6| No, I just think Monica was that fat.
Joey|3| Hey, imagine if I never got fired off Days Of Our Lives!  Oh-hey, there’s Carol again!
Chandler|4| What if I had had the guts to quit my job? I’d probably be writing for the New Yorker, getting paid to be funny. But my job’s fun too! I mean tomorrow, I-I don’t have to wear a tie.
Phoebe|5| What if I had taken that job at Merrill Lynch?
Ross|6| What?!
Rachel|1| Merrill Lynch?
Phoebe|5| Yeah, I had a massage client who worked there and-and he said I had a knack for stocks.
Rachel|1| Well why didn’t you take the job?
Phoebe|5| Because at that time you see, I thought everything that rhymed was true. So I thought y’know that if I’d work with stocks, I’d have to live in a box, and only eat lox, and have a pet fox.
Ross|6| Hey, do you guys think that if all those things happened, we’d still hang out?
{Transcriber’s note|0| This is where the opening credits are, but they’re not the usual opening credits. Oh no! These credits are based on the world that would have been created had all of the above actually happened. It starts out with all of them at the fountain sitting on the couch as Fat Monica runs up and sits on the arm of the couch, tilting the whole thing towards her. It then goes on to show Rachel’s still a shop-aholic and with Barry. Fat Monica is sweating while cooking and dancing while eating a donut. Phoebe as the Wall Street shark smoking while on two cell phones. Then they’re dancing in the fountain. Joey entering as Dr. Drake Remoray and meeting a groupie. Chandler trying to write as a bird does its business on his shoulder and falling asleep while typing. Ross doing some kara-tay and trying to get Carol into bed. And finally, some more dancing in the fountain, them all flexing, and the turning out the lamp and shutting off all the lights bit from the first season. Just remember one thing, this is an alternate universe. Everything from every other episode doesn’t apply, for instance, Ross and Rachel have no history. And in fact have not seen each other in years in this world.}
