Lisa Kudrow|  Previously on Friends
Ross|  Did you um—I’m sorry, did you just say it’s Rachel?
Joey| Yes.
Ross| Um, you…you like Rachel?
Joey| Yes. I like Rachel.
Ross| Rachel?!
Joey|  Yeah, okay but look, buy uh—Hey-hey, y’know, y’know who else I like? You! And it-it doesn’t get said enough. I like you Ross.
Ross| But R-R-Rachel-Rachel?! 
Joey| Yeah, but it’s not a big deal.
Ross| It’s not a big deal? Oh, I’m sorry I just…um, I…what about all the stuff you-you just said? I mean how about, I like—you-you can’t stop thinking about her. Like how you can’t sleep?
Joey| I’m an actor, y’know? As-as a group, we tend to be over dramatic.
Ross| Rachel who’s carrying my baby? Rachel?
Joey| Look no, I-I know it’s bad, and I know it’s wrong. Okay? But-but it’s not like anything’s ever gonna happen. Y’know? These-these are just feelings, they’re gonna go away.
Ross| Y’know what? I-I gotta go. 
Joey| Oh come on Ross! Hey Ross-Ross don’t…
Ross|  I just—y’know—I-I just have one—Rachel?! 
Gunther| Rachel?!!
Rachel| Oh-oh! Okay, she’s kicking!
Chandler| Oh!  She’s growing inside you.
Rachel| Whoa!!
Chandler| Oh! 
Rachel| Wow that was a big one.
Chandler| I think that’s the youngest girl ever to reject me.
Phoebe|  Oh hey you guys!
Chandler| Oh hey!
Rachel| Hi!
Phoebe| Hey listen let me ask you, do you believe in soul mates?
Rachel| Oh yes I do. I do. I believe that there is one perfect person out there for everyone. And do you know how you find him? You stop looking for him. That’s why I stopped looking for Russell Crowe. He’ll find me.
Phoebe| Uh-huh,  and you?
Chandler| No. I mean I believe that uh, certain people are more suited for each other and I believe in falling in love, but soul mates, I don’t think they exist.
Phoebe| Okay, good.
Chandler| Why?
Phoebe| Well last night, I met Monica’s.
Chandler| What?
Phoebe| Yeah, I had a date with this guy, and I swear to God, he is her other half.
Chandler| Come on, don’t be crazy.  You don’t think there’s someone out there better suited for Monica than me, do ya? 
Rachel|  Well, what’s he like?!
Phoebe| Well he’s tall.
Rachel| Uh-huh.
Phoebe| He has brown hair.
Rachel| Of course, of course.
Chandler| A tall guy with hair similar to mine, oh unknowable universe!
Phoebe| He works with food!
Rachel| Oh sure. Older?
Phoebe| Obviously, and he’s British.
Rachel| Oh, I was just gonna ask!
Phoebe| Yeah? And, he’s-he’s so centered and mature and confident.
Rachel| Oh, it’s so sad they never had a chance to meet.
Chandler| Luckily, the guy she settled for can’t hear what you’re talking about.
Phoebe| Oh, I’m so sorry. Um, and maybe I’m wrong! I but—y’know I’m gonna go out with him again, I’ll find out more.
Chandler| You believe that this guy is destined for someone else and you’re still gonna date him?
Phoebe| Well, he may not be my soul mate, but a girl’s gotta eat.
Monica| Hey.
Ross| Hey.
Monica| I just talked to Joey, I just—I want to see how you were.
