char|line
ross|guy
ross|somebody like meet
monica|w wait
ross|would marcel
ross|wan na say hi
rachel|oh precious
rachel|get
ross|friend bethel rescued lab
phoebe|cruel
phoebe|would parent name child bethel
chandler|hey monkey got ross as
monica|ross gon na live like apartment
ross|yeah
ross|mean kinda quiet since carol left
monica|get roommate
ross|nah dunno
ross|think reach certain age roommate kinda pathe
ross|sorry pathet sanskrit really cool way live
phoebe|guy new material tonight
phoebe|twelve new song mother suicide one snowman
chandler|might wan na open snowman
monica|go
joey|ahhhhhh get job
ross|could get
ross|santa last year
joey|dunno
joey|fat guy sleeping store manager
joey|even jolly political
monica|gon na
joey|ah gon na one helper
joey|slap face yknow
rachel|hey guy know new year
rachel|gee
rachel|wrong new year
chandler|nothing paolo
chandler|face horrible pressure holiday desperate scramble find anything lip someone kiss ball drop
chandler|man talking loud
rachel|well information paolo gon na rome new year pathetic rest
phoebe|yeah wish
chandler|sick victim dick clark holiday
chandler|say year date make pact
chandler|six u dinner
chandler|yknow hoping little enthusiasm
rachel|phoebe
phoebe|oh oh good
rachel|okay hi
rachel|lady gentleman back popular demand miss phoebe buffay
rachel|wooh
phoebe|thanks hi
phoebe|um wan na start song mean lot time year
phoebe|made man eye coal and smile bewitchin how supposed know that mom dead kitchen
phoebe|la lalala la la la la lalala la la
phoebe|mother ash even eyelash are resting little yellow jar and sometimes breezy
phoebe|feel little sneezy and excuse excuse
phoebe|yeah noisy boy
phoebe|something would like share entire group
other|okay
phoebe|well cmon important enough discus playing assume important enough everyone else hear
chandler|guy going home note
other|noth saying
phoebe|could speak please
other|sorry wa saying friend thought beautiful woman ever seen life
other|said said thought
other|daryl hannah
other|daryl hannah beautiful woman ever seen life said yeah liked splash lot much wall street thought kind
other|hard quality
other|hard quality
other|uh daryl hannah beautiful conventional way luminous kind delicate grace
other|uh started yelling
phoebe|okay gon na take short break
joey|hey guy going home note
ross|come marcel
ross|sit
rachel|pheebs can not believe kissed yet
rachel|mean god sixth date paolo mean already named breast
rachel|ooh
rachel|share much
ross|smidge
phoebe|david like yknow scientist guy
phoebe|methodical
monica|think romantic
phoebe|oh
phoebe|ever see officer gentleman
rachel|yeah
phoebe|well kinda like guy went see
phoebe|except except smarter gentler sweeter
phoebe|wan na time
phoebe|day night night day
phoebe|special occasion
chandler|wait minute wait minute see going gon na ask new year
chandler|gon na break pact
chandler|gon na break pact
phoebe|yeah could
chandler|yeah already asked janice
ross|cmon pact
ross|pact
chandler|snapped okay
chandler|could handle pressure snapped
monica|yeah janice
monica|like worst breakup history
chandler|saying good idea saying snapped
joey|hi
joey|hi sorry late
chandler|many joke
chandler|must mock joey
joey|nice shoe huh
chandler|aah ykilling
monica|ross
monica|playing spatula
ross|okay look gon na hurt right
monica|always bring
ross|wan na leave alone
ross|alright
ross|first fight morning
ross|think working late
ross|said thing mean threw faeces
chandler|yknow gon na work late could look
ross|oh great
ross|okay make sure seems like see okay like favour
chandler|okay asks going lie
other|can not actually test theory today particle accelerator nowhere near powerful enough simulate condition
phoebe|okay alright question
other|yuh
phoebe|um planning kissing ever
other|uh definitely uh valid question
other|uh answer would yes
other|yes
other|see wanted phenomenal kiss happened phenomenal moment well
phoebe|sure
other|right
other|see longer waited phenomenal kiss reached place got ta one thing like
other|sweep everything table throw
other|uh really uh sweeping sorta fella
phoebe|oh david think sweeping sorta fella
phoebe|mean sweeper
phoebe|trapped inside physicist body
other|rrrreally
phoebe|oh yeah oh sure
phoebe|sweep throw
phoebe|oh yeah right
other|okay okay okay
other|yknow really expensive
other|take gift
phoebe|okay kinda tidying
other|okay hell hell
other|want actually throw wan na hop
phoebe|hop
ross|tell something
ross|phrase date pact mean
monica|sorry okay
monica|chandler somebody phoebe somebody thought ask fun bobby
chandler|fun bobby
chandler|ex boyfriend fun bobby
monica|yeah
joey|know one fun bobby
chandler|happen know fun bob
rachel|okay go
joey|ooh ooh ooh ooh room milk
ross|okay date evening three date
joey|uh four
ross|four
rachel|five
ross|five
rachel|sorry
rachel|paolos catching earlier flight
joey|yeah met really hot single mom store
joey|elf
ross|okay gon na one standing alone ball drop
rachel|oh cmon
rachel|big party onell know
ross|hey yknow needed right
monica|matter
ross|oh marcel
ross|keep shutting yknow
ross|walking around time dragging hand
chandler|weird blast night
ross|really
chandler|yeah played watched tv
chandler|juggling thing amazing
ross|uh
ross|juggling thing
chandler|balled sock
chandler|figured taught
chandler|yknow big deal
chandler|balled sock
chandler|melon
other|phoebe
other|hi
phoebe|oh hi max
phoebe|hey know everybody
other|seen david
phoebe|around
other|well see tell pack bag
other|going minsk
phoebe|minsk
other|minsk
other|russia
phoebe|know minsk
other|got grant
other|three year expense paid
phoebe|leave
other|january first
phoebe|hello
other|hey
phoebe|hi
other|hi
phoebe|um well max told minsk congratulation
phoebe|exciting
other|even exciting going
phoebe|oh going
phoebe|oh
other|tell david
other|wan na go minsk work lifson yamaguchi flench nonononononono
other|wan na stay make girlfriend
other|thank max
other|thank
phoebe|really going
other|know
other|know gon na
other|decide
phoebe|oh
other|please
phoebe|oh
other|asking
phoebe|oh can not
other|can not
phoebe|thing
other|make decision
phoebe|okay um stay
other|stay
phoebe|stay
phoebe|getting good
other|max stuff
other|love artichoke thing
other|oh tell diet start tomorrow
chandler|remember janice
monica|vividly
monica|hi
other|hi sandy
joey|sandy
joey|hi
joey|cmon
joey|brought kid
other|yeah
other|okay right
ross|par tay
monica|thing coming
ross|thing
ross|greet guest party
ross|let ask something showed new girlfriend would welcome home
monica|guessing new girlfriend would urinate coffee table
ross|okay
ross|embarrassed anyone
ross|okay
ross|courage walk back like nothing happened
monica|alright
monica|keep away
ross|thank
ross|cmon marcel whaddya say little mingling
ross|alright uh
ross|catch later
monica|oh gosh
monica|rachel honey
monica|okay
monica|paolo
rachel|rome
rachel|jerk missed flight
phoebe|face bloated
rachel|okay
rachel|airport getting cab woman blonde planet pocketbook start yelling
rachel|something cab first
rachel|next thing know start start pulling hair
rachel|blowing attack whistle thingy three cab show going get cab tackle
rachel|hit head kerb cut lip whistle
rachel|oh
rachel|everybody fun party
rachel|people eating dip
other|yknow saw store last week probably first time ever mentally undressed elf
joey|wow uh dirty
other|yeah
joey|hey kid
ross|look
ross|saying spend whole evening least check
other|haaah got away
chandler|found
other|ross take picture
other|smile
other|janice camera
chandler|kill
chandler|kill
monica|hey everybody
monica|fun bobby
other|hey sorry late
other|uh grandfather died two hour ago
other|could get flight til tomorrow
joey|hey fun bobby
joey|whoah
joey|died
other|gon na open casket yknow least get see
other|oh gon na blow one gon na write reunited glitter
chandler|alright janice
chandler|janice
chandler|janice
chandler|hey janice invited party necessarily think meant
other|oh
other|oh
chandler|sorry misunderstood
other|oh god
other|listen chandler listen
other|one time gon na last chance
chandler|oh give thing
phoebe|hi max
other|yoko
other|decided go minsk without
other|wow
other|still minsk
other|happy new year
phoebe|alright
other|yeah fine fine
phoebe|going minsk
other|going minsk
phoebe|oh going minsk
phoebe|belong minsk
phoebe|can not stay
other|yes
other|go mean break can not break
phoebe|oh yes yes yes
phoebe|say um phoebe work life right
phoebe|say work
phoebe|work
phoebe|say
phoebe|say um tearing apart choice
phoebe|can not understand
phoebe|say
phoebe|can not understand
other|uh ow
phoebe|ooh sorry
phoebe|um put arm around
phoebe|put arm around
phoebe|um tell love never forget
other|never forget
phoebe|say almost midnight go wan na start new year can not finish
phoebe|gon na miss
phoebe|scientist guy
other|hi dick clark live time square
other|virtual snowstorm confetti time square
joey|ygo kid
chandler|peacock bit
chandler|please kiss midnight
joey|seen sandy
chandler|ooh
chandler|uh know tell monicas bedroom getting max scientist geek
chandler|ooh look know tell
rachel|vrrbddy bll drrbing
rachel|bll drrbing
other|twenty second midnight
chandler|moment joy upon u
joey|look like date pact thing worked
phoebe|everybody look happy
phoebe|hate
monica|everybodys happy
monica|hey bobby
chandler|yknow uh
chandler|thought throw
chandler|math whiz believe three girl three guy right
phoebe|dunno
phoebe|feel like kissing anyone tonight
rachel|can not kiss anyone
monica|kissing everyone
joey|nonono can not kiss ross brother
ross|perfect
ross|perfect
ross|everybodys getting kissed
chandler|alright somebody kiss
chandler|somebody kiss midnight
chandler|somebody kiss
joey|alrightalrightalright
ross|wanted work much
ross|mean still changing diaper pickin flea
ross|phoning
ross|hard accept fact something love much love back
rachel|think bitch cracked tooth
