phoebe|hi you guys
chandler|hey
monica|hi
rachel|what’s the matter
phoebe|well it’s just it’s one of those situations that i just hate
phoebe|y’know
phoebe|a massage client gave me three tickets to the helmet pelts exhibit at the morgan chase museum
joey|now you’re thinking you gotta sleep with him
phoebe|no
phoebe|no
phoebe|it’s just that he gave me three tickets and there are six of us
chandler|i’ll give up my ticket
joey|me too
phoebe|okay that’s so generous
chandler|and i think ross is generous too
phoebe|great
phoebe|okay then it’s just us girls
other|great
phoebe|yeah
rachel|so what what is the exhibit
phoebe|it’s mostly just photographs of lesbian love scenes interspersed with video games and free sandwiches
joey|oh man
ross|hey
rachel|hi
chandler|hey
joey|hey ross listen chandler got you out of going to the lesbian sandwich museum this weekend
ross|thanks
ross|but i have plans elizabeth and i are going out of town
monica|oh that’s great
ross|yeah
monica|i mean think about all the money that you’re gonna make
ross|why
ross|what
monica|well her father pays you for baby sitting right
ross|no no that’s funny
ross|but maybe it’s time to move on let it go y’know
ross|stop it
ross|besides rachel is going out with elizabeth’s father so ah he’s much older than she is
ross|looks like i’m not the only one interested in fossils huh
rachel|i mean ross all that does is remind us that you are interested in fossils
ross|okay okay
ross|uh well uh rachel is going to need to yell sweet nothings in his ear
chandler|ross
ross|oh come on you guys that’s funny
ross|y’know
ross|because he’s need he’s got like a hearing aide y’know ‘cause ‘cause y’know ‘cause he’s all old and…
other|okay look ross just so you know that since lizzie likes you so much i’ve decided to accept the fact that you’re going out with her
ross|really
ross|that okay that’s great
other|yeah
other|but then i changed my mind
other|i’m funny like that
other|so i told lizzie now i’m telling you i don’t want you seeing my daughter anymore
ross|all right look i i realize it upsets you
other|yes it does
ross|but elizabeth and i are are both adults and so i don’t think there’s really anything you can do about it
other|i’ll call the university and tell them about your relationship and have you fired
ross|ohh
ross|a man with a plan
phoebe|oh this is so exciting
phoebe|you get your picture back up on the wall of fame
phoebe|eek
joey|i know
joey|it was so cool when i was up there before
joey|me and jim belushi would just be crackin’ up about something… then i get fired off of days of our lives and he takes me down
joey|now he’s just laughing at me
joey|look at him that smug belushi b st rd i’ll…
phoebe|ohh okay maybe they put your picture back up they can put you next to matt lauer
phoebe|look at him smiling at me
phoebe|yeah i know we’d be great together
joey|hey
joey|so i’m back
other|who are you
joey|joey tribbiani
joey|from the wall
joey|okay maybe this will jog your memory huh
joey|huh
joey|okay eh ah anyway i’m ready to go back up on the wall i’m the star of a new tv show
other|show me in the table
joey|oh well it’s not on tv yet
other|well then it’s not on the wall yet
joey|okay fine i will bring you a tape huh
phoebe|so umm now do you have any of matt lauer’s clothes here
phoebe|maybe
phoebe|just ones that haven’t been cleaned yet
monica|oh i love museums
rachel|umm
monica|soakin’ up all the culture
rachel|yeah
monica|where do you want to start
rachel|ooh the gift shop
monica|yeah
phoebe|hey and then lunch
rachel|oh wait yes but i can’t eat too much
rachel|paul is taking me out to dinner tonight he said he has a big surprise planned
phoebe|oh wow
phoebe|what do you think maybe he’s gonna tell you that he’s gay
rachel|what
rachel|no
rachel|why
phoebe|no reason
phoebe|that would just be a really big surprise right
other|you can put the aisle over here and put the wedding ceremony right over here
rachel|i didn’t know you could get married here
monica|this would be a beautiful place to get married yeah but i wouldn’t put the aisle there and i would never have the ceremony there
monica|i mean you’d have the ceremony under this big beautiful arch
other|may i help you
rachel|oh sorry didn’t mean to interrupt
rachel|it’s just such a beautiful space do you do a lot of weddings here
other|yes
other|we’re very popular
other|there’s a two year waiting list
other|sorry
rachel|monica you should totally put your name down on the list
monica|what
monica|are you crazy
monica|i’m not getting married
monica|i’m not even engaged
phoebe|yeah but there’s a two year wait
phoebe|and then what if you get engaged in two years and then you got to wait another two years for this place
phoebe|that’s four years
phoebe|chandler’s not gonna wait that long
phoebe|he’s gonna find somebody else y’know
phoebe|someone someone who did put their name on the list
rachel|yeah hon it can’t hurt to put your name down
rachel|i mean in if two years if you’re not engaged you just don’t use it
monica|well i mean i guess there is no harm in putting my name down
rachel|i’m gonna do it too
phoebe|me too
rachel|really
rachel|who would who would you marry
phoebe|i don’t know i don’t have anyone right now
phoebe|y’know
rachel|oh pheebs
phoebe|don’t feel too sorry for me
phoebe|at least my boyfriend isn’t gay
monica|phoebe that stuff is…
phoebe|don’t even get me started on yours
joey|hey
joey|so did you watch the tape of my show
other|i did
joey|all right let’s get me back up there
other|no
other|it don’t go up on the wall
joey|what but you saw the show
other|yes it was very offensive to my people
joey|dry cleaners
other|russians
other|it showed them as terrorists and villains
joey|okay
joey|okay look
joey|you you you got harrison ford up there
other|that’s right
other|mr
other|ford is a very good customer he brings us a lot of clothes you bring us nothing
joey|okay well that may be true
joey|but in in okay air force one the russians were terrorists
joey|and evil
joey|and plus he kills a bunch of them
joey|that that that’s offensive to russians
other|i’ve never seen it
joey|oh you should it’s great
ross|this place is really beautiful
other|yeah i’ve been coming here since i was a kid
other|this used to be my grandma’s
ross|wow
ross|the only thing i got from my grandmother was her eyes
ross|i mean not not her actual eyeballs but but people say that my eyes do do you want to make out
other|sure
other|are you okay
other|what’s wrong
ross|ehh i was just i was just thinking about your father
other|well whatever works for ya…
ross|no
ross|no no uh he just he just really freaked me out before
other|oh
other|well so we have to hide our relationship from one more person
other|big deal
other|besides it’s kinda fun hiding
ross|yeah
other|hey umm you brought protection right
ross|why
ross|are there like bears or something
ross|ohh
ross|oh protection
